experiment_name,backend,mpi_ranks,omp_threads,num_qubits,circuit_depth,num_cuts,total_tasks,batch_size,chunk_records,compute_seconds,write_seconds,read_seconds,total_seconds,global_sum,records_written,bytes_written,files_created,tasks_per_second,max_buffer_mb
memory_mpi1_b16384_c65536_cuts8_t12_rep0,memory,1,12,28,120,8,50000000,16384,65536,3.326979,1.855706,0.123926,5.363611,0.000027,50000000,3200000000,0,9322078.781902,3051.757812
single_hdf5_mpi1_b1024_c4096_cuts4_t4_rep0,single_hdf5,1,4,28,120,4,599837,1024,4096,0.049634,0.072882,0.019176,0.142532,-0.010880,599837,38389568,1,4208427.837043,0.062500
single_hdf5_mpi1_b1024_c4096_cuts4_t8_rep0,single_hdf5,1,8,28,120,4,599837,1024,4096,0.057444,0.074651,0.018478,0.151387,-0.010880,599837,38389568,1,3962282.035911,0.062500
single_hdf5_mpi1_b1024_c4096_cuts4_t12_rep0,single_hdf5,1,12,28,120,4,599837,1024,4096,0.066270,0.074924,0.018354,0.160407,-0.010880,599837,38389568,1,3739473.754837,0.062500
single_hdf5_mpi1_b1024_c4096_cuts6_t4_rep0,single_hdf5,1,4,28,120,6,9597401,1024,4096,0.810763,1.176118,0.287621,2.288856,-0.015582,9597401,614233664,1,4193100.020501,0.062500
single_hdf5_mpi1_b1024_c4096_cuts6_t8_rep0,single_hdf5,1,8,28,120,6,9597401,1024,4096,0.918750,1.184227,0.287667,2.404442,-0.015582,9597401,614233664,1,3991529.826033,0.062500
single_hdf5_mpi1_b1024_c4096_cuts6_t12_rep0,single_hdf5,1,12,28,120,6,9597401,1024,4096,1.044584,1.201115,0.286861,2.546734,-0.015582,9597401,614233664,1,3768513.016065,0.062500
single_hdf5_mpi1_b1024_c4096_cuts8_t4_rep0,single_hdf5,1,4,28,120,8,50000000,1024,4096,4.310144,6.118973,1.488781,11.988433,0.000027,50000000,3200000000,1,4170686.826454,0.062500
single_hdf5_mpi1_b1024_c4096_cuts8_t8_rep0,single_hdf5,1,8,28,120,8,50000000,1024,4096,4.792286,6.235133,1.486129,12.585014,0.000027,50000000,3200000000,1,3972979.237732,0.062500
single_hdf5_mpi1_b1024_c4096_cuts8_t12_rep0,single_hdf5,1,12,28,120,8,50000000,1024,4096,5.451337,6.309519,1.483097,13.321012,0.000027,50000000,3200000000,1,3753468.450137,0.062500
single_hdf5_mpi1_b1024_c16384_cuts4_t4_rep0,single_hdf5,1,4,28,120,4,599837,1024,16384,0.051707,0.120641,0.020532,0.193914,-0.010880,599837,38389568,1,3093309.473448,0.062500
single_hdf5_mpi1_b1024_c16384_cuts4_t8_rep0,single_hdf5,1,8,28,120,4,599837,1024,16384,0.058281,0.121328,0.019370,0.200024,-0.010880,599837,38389568,1,2998820.643292,0.062500
single_hdf5_mpi1_b1024_c16384_cuts4_t12_rep0,single_hdf5,1,12,28,120,4,599837,1024,16384,0.065005,0.120909,0.019288,0.206266,-0.010880,599837,38389568,1,2908071.175107,0.062500
single_hdf5_mpi1_b1024_c16384_cuts6_t4_rep0,single_hdf5,1,4,28,120,6,9597401,1024,16384,0.832910,1.903037,0.289651,3.042201,-0.015582,9597401,614233664,1,3154755.855903,0.062500
single_hdf5_mpi1_b1024_c16384_cuts6_t8_rep0,single_hdf5,1,8,28,120,6,9597401,1024,16384,0.928574,1.940971,0.293861,3.179887,-0.015582,9597401,614233664,1,3018157.897869,0.062500
single_hdf5_mpi1_b1024_c16384_cuts6_t12_rep0,single_hdf5,1,12,28,120,6,9597401,1024,16384,1.043132,1.946557,0.290035,3.296312,-0.015582,9597401,614233664,1,2911557.551210,0.062500
single_hdf5_mpi1_b1024_c16384_cuts8_t4_rep0,single_hdf5,1,4,28,120,8,50000000,1024,16384,4.370615,10.158708,1.571887,16.182645,0.000027,50000000,3200000000,1,3089729.742797,0.062500
single_hdf5_mpi1_b1024_c16384_cuts8_t8_rep0,single_hdf5,1,8,28,120,8,50000000,1024,16384,4.841383,10.098712,1.498596,16.523854,0.000027,50000000,3200000000,1,3025928.393359,0.062500
single_hdf5_mpi1_b1024_c16384_cuts8_t12_rep0,single_hdf5,1,12,28,120,8,50000000,1024,16384,5.461987,10.114466,1.499616,17.158671,0.000027,50000000,3200000000,1,2913978.575752,0.062500
single_hdf5_mpi1_b1024_c65536_cuts4_t4_rep0,single_hdf5,1,4,28,120,4,599837,1024,65536,0.050824,0.093016,0.018031,0.162892,-0.010880,599837,38389568,1,3682414.541529,0.062500
single_hdf5_mpi1_b1024_c65536_cuts4_t8_rep0,single_hdf5,1,8,28,120,4,599837,1024,65536,0.057439,0.094622,0.016938,0.170039,-0.010880,599837,38389568,1,3527645.442384,0.062500
single_hdf5_mpi1_b1024_c65536_cuts4_t12_rep0,single_hdf5,1,12,28,120,4,599837,1024,65536,0.064271,0.093255,0.017869,0.176344,-0.010880,599837,38389568,1,3401511.821467,0.062500
single_hdf5_mpi1_b1024_c65536_cuts6_t4_rep0,single_hdf5,1,4,28,120,6,9597401,1024,65536,0.827433,1.431319,0.258597,2.533325,-0.015582,9597401,614233664,1,3788459.716745,0.062500
